what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349261060386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349261062026
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349261062026
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349261554800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349261557452
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349261647733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349261989353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262019602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262020647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262021911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262024689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262033191
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349262035406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349262035625
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349262039416
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349262039587
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349262042505
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1349262045141
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1349262045438
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349262050851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349262117574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263663326
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1349263671595
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1349263710284
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1349263715338
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349263727522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263729192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263729426
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349263738724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263740689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263740908
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349263744106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263746118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263746290
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1349263752702
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1349263752764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263752795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349263754667
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349263761688
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1349263765291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349263765556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349263813434
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1349263843216
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1349263844729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349263854058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1349263878691
